epoch,step,train_acc,train_loss,val_acc,val_loss
0,156,,,0.18000000715255737,0.026348568499088287
0,156,0.3307499885559082,0.006670655217021704,,
1,313,,,0.18850000202655792,0.02837708406150341
1,313,0.43195000290870667,0.0036293671000748873,,
2,470,,,0.18520000576972961,0.029146337881684303
2,470,0.4826500117778778,0.002785405144095421,,
3,627,,,0.226500004529953,0.03244861960411072
3,627,0.4987500011920929,0.0026356736198067665,,
4,784,,,0.23649999499320984,0.027879806235432625
4,784,0.5099999904632568,0.0024376350920647383,,
5,941,,,0.18629999458789825,0.032522160559892654
5,941,0.5089499950408936,0.002448578365147114,,
6,1098,,,0.21979999542236328,0.030462978407740593
6,1098,0.5443500280380249,0.0021212121937423944,,
7,1255,,,0.23690000176429749,0.03416969254612923
7,1255,0.5644000172615051,0.001813465845771134,,
8,1412,,,0.21969999372959137,0.03234181925654411
8,1412,0.579800009727478,0.0016787357162684202,,
9,1569,,,0.21220000088214874,0.03404172137379646
9,1569,0.5756000280380249,0.0017261361936107278,,
10,1726,,,0.2176000028848648,0.033055320382118225
10,1726,0.5900499820709229,0.0016829280648380518,,
